,PMID,paper_titles,assigned?,Haley,Peng Yu,Karthik,Xiaohuan,Yi Weng,No. of EV related Matched Keywords,Calculated Result(Normalized),Calculated Y/N by 0.5 Threshold
1887,29484119,breast cancer cell derived exosomes macrophage polarization associated lymph node metastasis,notass,Y,,N,,Y,4,0.8,Y
1888,29484441,disintegrin metalloprotease containing exosomes derived nasal polyps promote angiogenesis vascular permeability,notass,Y,,Y,,Y,2,0.4,N
1889,29484678,simultaneous isolation preconcentration exosomes ion concentration polarization,notass,N,,N,,N,1,0.2,N
1890,29491008,circulating exosomes distinct properties chronic lung allograft rejection,notass,N,,N,,N,1,0.2,N
1891,29491838,iron sulfur molybdenum cofactor enzymes regulate drosophila life cycle controlling cell metabolism,notass,N,,N,,N,0,0,N
1892,29492481,visualization intracellular dynamic tracking exosomes exosomal mirnas using single molecule localization microscopy,notass,N,,N,,N,1,0.2,N
1893,29495441,detection aggregation competent tau neuron derived extracellular vesicles,notass,N,,N,,N,1,0.2,N
1894,29496262,colorectal cancer cell derived exosomes containing mir b regulate fibroblast cells via pi k akt pathway,notass,Y,,Y,,Y,3,0.6,Y
1895,29497921,exosomal mir released hiv tat stimulated astrocytes mediates microglial migration,notass,Y,,Y,,Y,1,0.2,N
1896,29499866,donor tissue specific exosome profiling enables noninvasive monitoring acute rejection mouse allogeneic heart transplantation,notass,N,,N,,Y,1,0.2,N
1897,29499908,cd independent epstein barr virus entry nk cells,notass,N,,N,,N,0,0,N
1898,29500443,improved isolation strategies increase yield purity human urinary exosomes biomarker discovery,notass,N,N,N,,N,2,0.4,N
1899,29502100,adipose derived exosomes exert proatherogenic effects regulating macrophage foam cell formation polarization,notass,Y,,N,,Y,2,0.4,N
1900,29507617,serum exosomes restore cellular function vitro used diagnosis dysferlinopathy,notass,Y,,N,,Y,1,0.2,N
1901,29507629,mesenchymal stem cells derived exosomes immunosuppressive microparticles inflammatory arthritis,notass,Y,,Y,,Y,4,0.8,Y
1902,29511430,chemokine receptor ccr identified mast cell derived exosomes,notass,N,,N,,N,1,0.2,N
1903,29511462,proteome profiling extracellular vesicles captured affinity peptide vn comparison laemmli trizol protein extraction methods,notass,N,,N,,N,2,0.4,N
1904,29511463,biocompatibility highly purified bovine milk derived extracellular vesicles,notass,N,,N,,N,1,0.2,N
1905,29515035,exosomal microrna predicts protects severe bronchopulmonary dysplasia extremely premature infants,notass,Y,,Y,,Y,0,0,N
1906,29515112,hypoxia induced matrix metalloproteinase expression exosomes nasopharyngeal carcinoma enhances metastases,notass,Y,,Y,,Y,2,0.4,N
1907,29518149,secretory microrna expression gingival crevicular fluid orthodontic tooth movement,notass,N,,N,,N,0,0,N
1908,29520105,metastasis associated mir nasopharyngeal carcinoma derived exosomes mediates angiogenesis repressing novel target gene tsga,notass,Y,,Y,,Y,4,0.8,Y
1909,29520676,recent advances exosomal protein detection via liquid biopsy biosensors cancer screening diagnosis prognosis,notass,N,,N,,Y,2,0.4,N
1910,29521294,effects adipose derived mesenchymal stem cell exosomes corneal stromal fibroblast viability extracellular matrix synthesis,notass,Y,,Y,,Y,5,1,Y
1911,29524006,remote ischemic preconditioning fails reduce infarct size zucker fatty rat model type diabetes role defective humoral communication,notass,N,,N,,N,1,0.2,N
1912,29526650,mirnas targeting icp delivered susceptible cells exosomes block hsv replication dose dependent manner,notass,Y*,,Y,,Y,1,0.2,N
1913,29530483,exosomal v integrin required monocyte polarization prostate cancer,notass,Y,,Y,,Y,1,0.2,N
1914,29531019,paclitaxel treatment pc knockdown macrophages promising anti glioma strategy revealed proteomics cytotoxicity studies,notass,N,,N,,N,1,0.2,N
1915,29535716,roles macrophage exosomes immune response calcium oxalate monohydrate crystals,notass,Y,,Y,,Y,4,0.8,Y
1916,29535850,scalable cgmp compatible purification extracellular vesicles carrying bioactive human heterodimeric il lactadherin complexes,notass,N,,N,,N,2,0.4,N
1917,29538408,human embryonic stem cells extracellular vesicles effects immortalized human retinal ller cells,notass,Y,,Y,,Y,2,0.4,N
1918,29539618,non proximal renal tubule derived urinary exosomal mir b biomarker renal fibrosis,notass,N,,N,,N,1,0.2,N
1919,29540208,exosomes patients septic shock convey mirnas related inflammation cell cycle regulation new signaling pathways sepsis,notass,Y,,N,,Y,2,0.4,N
1920,29542367,exosomes derived toxoplasma gondii stimulate inflammatory response jnk signaling pathway,notass,Y,,Y,,Y,1,0.2,N
1921,29542684,exosomes suxiao jiuxin pill treated cardiac mesenchymal stem cells decrease h k demethylase utx expression mouse cardiomyocytes vitro,notass,Y,,Y,,Y,2,0.4,N
1922,29543435,protofibrils interact trafficked microglial derived microvesicles,notass,N,,N,,N,0,0,N
1923,29546642,therapeutic potential engineered extracellular vesicles,notass,N,,N,,Y,1,0.2,N
1924,29546715,purification exosomes primary schwann cells rna extraction next generation sequencing exosomal rnas,notass,N,,N,,N,2,0.4,N
1925,29551275,pkh labeling extracellular vesicles characterization cellular internalization contaminating pkh nanoparticles,notass,N,,N,,N,1,0.2,N
1926,29552016,utero exposure exosomal b cell alloantigens lessens alloreactivity recipients lymphocytes rather confers allograft tolerance,notass,Y,,Y,,Y,0,0,N
1927,29552440,comparison extraction determination serum exosome mirna serum detection mir p serum exosome als patients,notass,N,,N,,N,1,0.2,N
1928,29552586,quantification tumor material uptake,notass,N,,N,,N,0,0,N
1929,29553831,exosomes asbestos exposed cells modulate gene expression mesothelial cells,notass,Y,,Y,,Y,1,0.2,N
1930,29555374,exosomes emerging players cancer biology,notass,N,,N,,N,2,0.4,N
1931,29556340,role ptrf cavin biomarker glioma serum exosomes,notass,N,,N,,N,1,0.2,N
1932,29556344,exosomal dmbt human urine derived stem cells facilitates diabetic wound repair promoting angiogenesis,notass,Y,,Y,,Y,2,0.4,N
1933,29556361,targeting regenerative exosomes myocardial infarction using cardiac homing peptide,notass,N,,N,,N,3,0.6,Y
1934,29557993,mirna profiling exosomes spontaneous hypertensive rats using next generation sequencing,notass,N,,N,,N,1,0.2,N
1935,29559383,serum exosomal mir serves potential diagnostic prognostic biomarker dementia,notass,N,,N,,Y,0,0,N
1936,29559974,viral mirnas alter host cell mirna profiles modulate innate immune responses,notass,N,,N,,N,0,0,N
1937,29560091,epigenetic modifications hyperhomocysteinemia potential role diabetic retinopathy age related macular degeneration,notass,N,,N,,N,0,0,N
1938,29566346,emerging role extracellular vesicles bone remodeling,notass,Y,,N,,Y,1,0.2,N
1939,29567987,tumor associated macrophages derived exosomes promote migration gastric cancer cells transfer functional apolipoprotein e,notass,Y,,Y,,Y,4,0.8,Y
1940,29568403,exosomal microrna profiling identify hypoxia related biomarkers prostate cancer,notass,N,,N,,Y,3,0.6,Y
1941,29568511,novel method collection nanoscopic vesicles organotypic culture model,notass,N,,N,,N,0,0,N
1942,29570251,tumor derived exosomes modulate cell function transfer rna,notass,Y,,N,,Y,1,0.2,N
1943,29582582,mirna attenuates muscle atrophy renal fibrosis muscle kidney crosstalk,notass,N,,Y,,N,2,0.4,N
1944,29590649,circulating lncrnas analysis patients type diabetes reveals novel genes influencing glucose metabolism islet cell function,notass,N,,N,,N,1,0.2,N
1945,29592957,intra cardiac release extracellular vesicles shapes inflammation following myocardial infarction,notass,Y,,Y,,Y,4,0.8,Y
1946,29593572,identification exosomal mirnas rats pulmonary neutrophilic inflammation induced zinc oxide nanoparticles,notass,N,,N,,N,0,0,N
1947,29595984,exosomes irradiated nonsmall cell lung cancer cells reduced sensitivity recipient cells anaplastic lymphoma kinase inhibitors,notass,Y,,Y,,Y,2,0.4,N
1948,29599080,exosomes endothelial progenitor cells improve outcome murine model sepsis,notass,Y,,Y,,Y,2,0.4,N
1949,29600288,diffusion tensor cardiac magnetic resonance reveals exosomes cardiosphere derived cells preserve myocardial fiber architecture myocardial infarction,notass,Y,,N,,N,3,0.6,Y
1950,29603092,microrna expression levels altered cerebrospinal fluid patients young onset alzheimer disease,notass,N,,N,,N,0,0,N
1951,29603107,low level laser irradiation high power intensity increased human endothelial cell exosome secretion via wnt signaling,notass,N,,N,,N,2,0.4,N
1952,29610454,designer exosomes produced implanted cells intracerebrally deliver therapeutic cargo parkinson disease treatment,notass,Y,,N,,Y,1,0.2,N
1953,29614511,tumor derived exosomal long noncoding rnas promising diagnostic biomarkers prostate cancer,notass,N,,N,,Y,2,0.4,N
1954,29616126,dendritic cells loaded hela derived exosomes simulate antitumor immune response,notass,Y,,Y,,Y,3,0.6,Y
1955,29617321,exosome mediated transfer cancer cell resistance antiestrogen drugs,notass,Y,Y,N,,Y,2,0.4,N
1956,29618654,exosomal tat protein activates latent hiv primary resting cd lymphocytes,notass,Y,,Y,,Y,1,0.2,N
1957,29621777,loading mir endothelial progenitor cells derived exosomes boosts beneficial effects hypoxia reoxygeneation injured human endothelial cells via protecting mitochondrial function,notass,Y,,N,,Y,4,0.8,Y
1958,29621784,exosomes derived dendritic cells attenuate liver injury modulating balance treg th cells ischemia reperfusion,notass,Y,,Y,,Y,4,0.8,Y
1959,29623002,role exosomal micrornas disruption regulatory cell homeostasis multiple sclerosis,notass,Y,,Y,,Y,0,0,N
1960,29624236,remedial applications exosomes cancer infections diabetes,notass,,,,,,3,0.6,Y
1961,29626470,exosomal mir metastatic osteosarcoma promotes cell migration invasion targeting caln,notass,Y,,Y,,Y,1,0.2,N
1962,29626979,placental exosomes profile maternal fetal circulation intrauterine growth restriction liquid biopsies monitoring fetal growth,notass,N,,N,,N,1,0.2,N
1963,29627835,diagnosis hyperacute acute ischaemic stroke potential utility exosomal microrna p microrna p,notass,N,,N,,Y,0,0,N
1964,29630521,prognostic predictive value long non coding rna gas mircorna colorectal cancer effects colorectal cancer cell proliferation migration invasion,notass,N,,N,,N,3,0.6,Y
1965,29631371,spheroids cardiomyocytes derived human induced pluripotent stem cells improve recovery myocardial injury mice,notass,N,,N,,N,2,0.4,N
1966,29635386,amniotic fluid exosome proteomic profile exhibits unique pathways term preterm labor,notass,N,,N,,N,1,0.2,N
1967,29636362,exosomes induce fibroblast differentiation cancer associated fibroblasts tgf signaling,notass,Y,,Y,,Y,3,0.6,Y
1968,29636548,hypoxia induced exosomes contribute aggressive chemoresistant ovarian cancer phenotype novel mechanism linking stat rab proteins,notass,Y,Y,Y*,,Y,3,0.6,Y
1969,29644801,exosomal micrornas milk mothers delivering preterm infants survive vitro digestion taken human intestinal cells,notass,N,,N,,N,1,0.2,N
1970,29650788,serum exosomal long noncoding rnas ensg. linc diagnosis prognosis hepatocellular carcinoma,,N,,N,,N,0,0,N
1971,29653387,bovine uterus derived exosomes improve developmental competence somatic cell nuclear transfer embryos,notass,Y,,N,,Y,1,0.2,N
1972,29654758,regulation hair follicle development exosomes derived dermal papilla cells,notass,Y,,N,,Y,1,0.2,N
1973,29654765,adipose mesenchymal stem cell derived exosomes stimulated hydrogen peroxide enhanced skin flap recovery ischemia reperfusion injury,notass,Y,,Y,,Y,3,0.6,Y
1974,29660008,exosomal mir endometrial stromal cells inhibits endometriosis fibrosis,notass,Y,,Y,,Y,0,0,N
1975,29660237,multiplexed isobaric tag based profiling seven murine tissues following vivo nicotine treatment using minimalistic proteomics strategy,notass,,,,,,1,0.2,N
1976,29660269,deterministic encapsulation human cardiac stem cells variable composition nanoporous gel cocoons enhance therapeutic repair injured myocardium,notass,N,,N,,N,1,0.2,N
1977,29660691,proteomic analysis liquid biopsy tumor draining vein indicates high expression exosomal ecm associated relapse stage iii colon cancer,notass,N,,N,,N,1,0.2,N
1978,29661576,treatment experimental necrotizing enterocolitis stem cell derived exosomes,notass,N,,N,,Y,1,0.2,N
1979,29662654,extracellular vesicle encapsulated mir e suppresses cholangiocarcinoma cell invasion migration via inhibiting epithelial mesenchymal transition,notass,Y,,Y,,Y,2,0.4,N
1980,29663493,mouse serum exosomal proteomic signature response asbestos exposure,notass,N,,N,,N,0,0,N
1981,29666503,regulatory cell derived extracellular vesicles modify dendritic cell function,notass,Y,,Y,,Y,1,0.2,N
1982,29668670,exosomes released gastric cancer cells induce transition pericytes cancer associated fibroblasts,notass,Y,,Y,,Y,4,0.8,Y
1983,29669940,generation testing clinical grade exosomes pancreatic cancer,notass,N,,N,,N,2,0.4,N
1984,29671027,comparison commercial exosome isolation kits circulating exosomal microrna profiling,notass,N,,N,,N,1,0.2,N
1985,29673440,mir p transferred exosomes promotes proliferation esophageal cancer cells via intercellular communication targeting pten,notass,Y,,Y,,Y,2,0.4,N
1986,29674685,exosomal circrna arsenite transformed cells via microrna regulation ezh involved malignant transformation human hepatic cells accelerating cell cycle promoting cell proliferation,,Y,,,,,1,0.2,N
